That was really a nightmare !  __sou__ Honey , what's up ?
The tea smells good . What tea is it ? __eou__ It's a special green tea named Longing Tea from Zhejiang province . __eou__ What's special about it except its pleasant smell ? __eou__ You can see that it keeps the original color of the tea leaves very well .  __sou__ They must have some special methods to do this during the process .
I'm a little rushed . Is there any quicker way to get there ? __eou__ Yeah , of course . You can take a taxi . __eou__ How much will that run me ? __eou__ It depends on traffic and distance , but it is reasonable . __eou__ Do the drivers speak English ? __eou__ Some are better than others . But , you shouldn't have a problem . __eou__ Are they safe ?  __sou__ For the most part , yes . If you don't feel comfortable with it , then it is best not to take one at night .
Are you ready to order ? May I suggest a veal ? __eou__ No , I'll have the fish please . __eou__ The chicken is also nice . __eou__ No , I want the fish .  __sou__ Our special tonight is lobster .
that was a really good meal , Gordon . __eou__ It sure was . I couldn't eat another bite . __eou__ well , it is getting pretty late . I think we should go home . __eou__ you're right . I have to get up early to go to work tomorrow . __eou__ let's see how much the bill is . __eou__ don't worry about it . Tonight is my treat . __eou__ what are you talking about ? We'll split the bill . __eou__ no , I insist . I kept telling you that I would treat you to dinner but I still haven't . __eou__ no way , Gordon . I know that you are a little short on cash at the moment . There's no need for you to pay for the whole bill . __eou__ alright , if that's the way you are going to be , we'll split the bill .  __sou__ that's better . This way we will both have money to take a cab home , otherwise , you would probably have to walk .
I was wondering how you are going to calculate our final grades . __eou__ Grades are based on many things  __sou__ What counts the most ?
Emily , are you getting rushed by a sorority ? __eou__ More than one . I think the count is now three , if I remember correctly . __eou__ Wow . I'm getting rushed too , but just one . Are you thinking of joining any of them ? __eou__ I don't know . I know there are advantages to joining , but I'm not much into group stuff .  __sou__ The guys I've talked to say that the activities that go on in a frat house can be a little distracting depending on the group .
Wow ! Look at all these books ! I bet I can find a book about anything here ! __eou__ Shih ! ! Please keep your voice down . There are people reading and studying here . __eou__ Ok , I'm sorry . Are you the librarian ? Maybe you can help me , I am looking for a book . __eou__ Yes I am . You can check our online catalog to search the book you want based on the genre , title or if you know the author , I can point you towards the right direction . __eou__ I am looking for a book that has nursery rhymes . __eou__ That would be in our children's section . That book shelf there on the right . __eou__ Ok , I would like to check out these books . __eou__ Do you have a library card ? __eou__ No . How do I get one ? __eou__ I just need to see your drivers license or utility bill to prove that you a resident of this state . __eou__ Here you go . __eou__ So you are all set . You can have these books for two weeks . If you need to have them longer , you can bring them here to renew them . If you don't , you get charged ten cents a day for each book .  __sou__ Ok , thanks !
What can I do for you today ? __eou__ I need to return a book . __eou__ Can I do anything else for you ?  __sou__ I want to check this magazine out .
I'm here for my appointment .  __sou__ What can I do for you today ?
Guess what came in the mail today ? __eou__ What ? __eou__ My acceptance letter to Yale ! __eou__ Wow ! Congratulation ! When do classes start ? __eou__ Freshman orientation is the last week of august , but I want to go two weeks before that to get settled in . __eou__ You ’ re so lucky ! Do you have to do many things before you leave ? __eou__ Yes . I ’ ll be very busy ! I have to get a visa , buy a plane ticket , and pack my things . But first , I want to register for classes . __eou__ When can you do that ? __eou__ Well , they sent me their prospectus , so I can start looking now . do you want to help me decide which classed to take ? __eou__ Sure . What can you choose from ? __eou__ Well , I have to take all the fundamental course , plus a few from my major . __eou__ What is your major ? __eou__ I hope to major in English literature , but the admissions counselor told me that many people change their major many times in their first year , so we ’ ll see . __eou__ What are the fundamental course ? __eou__ In order to graduate , every student must take a certain amount of classes in history , math , English , philosophy , science and art . __eou__ Interesting . That ’ s very different from the Chinese education system . __eou__ Yes , it is . It ’ s also very different from the British education system . __eou__ Really ? __eou__ oh , sure . In British , students don ’ t have to take the foundation course . __eou__ why not ?  __sou__ maybe because they think they know everything already ! ha ha .
What were you and Richard talking about earlier ? It looked intense . __eou__ Yeah , Richard said something to me that I didn't appreciate . __eou__ Oh , no . I know how insensitive he can be . What has he done now ? __eou__ He asked me how long it took me to learn English .  __sou__ But , you were born and raised in California !
I have a real problem when I meet people .  __sou__ What is it ? Maybe I can help .
You received a letter in the mail . __eou__ Give it here . __eou__ Who ’ s the letter from ? __eou__ I think it ’ s my acceptance letter from NYU . __eou__ I want to know what it says . __eou__ They didn ’ t accept me . __eou__ Are you serious ? __eou__ It ’ s the truth . __eou__ Are you okay ? __eou__ I really wanted to get into NYU .  __sou__ I am really sorry to hear that .
You ’ re new here , right ? __eou__ Yes , I am . __eou__ Will this be your first year ? __eou__ No , I transferred here . __eou__ What school did you come from ? __eou__ I transferred from PCC . __eou__ Why ’ d you transfer here ? __eou__ I wanted to attend this school originally , but my grades out of high school weren ’ t good enough . __eou__ Is PCC a good school ?  __sou__ PCC is great !
This man looks very handsome.Is he married ?  __sou__ Sure.He has already married , a father of two boys .
Dan , Dan , dude . You have to come over to my house right now ! __eou__ Is everything OK ? __eou__ Just get over here ! __eou__ Come in ! Quickly ! __eou__ So , since when is your house a bank ? __eou__ What do you mean ? __eou__ I mean , what ’ s up with the locks and iron bars on your windows . __eou__ Security , Dan , security ! You can never be too safe you know ! A lot of sickos out there . Just the other day they caught that peeping tom red handed ! Had a high power telescope and binoculars by his window . __eou__ What ’ s the matter with you ? Why are you acting all paranoid ?  __sou__ Paranoid ? I ’ m not paranoid ! I ’ m cautious ! You see Dan , we have to be on guard at all time ! People just invade your privacy as if they knew you ! Telemarketers , solicitors , even your bank ! They have way too much information ! I like to keep everything on a need to know basis .
I wish I knew who had moved our flower pots . __eou__ It was me . I am so sorry . __eou__ What did you think you were doing ? __eou__ I had to move it , so that I can get my bike through . __eou__ How dare you be so inconsiderate ? That's wrong . __eou__ I am awfully sorry . I didn't think you would mind so much . __eou__ Never do that again .  __sou__ I promise .
Oh , my God ! I've been cheated ! __eou__ What ? What did you buy ? __eou__ It's a brick ! I can't believe how stupid I was . Damn it ! __eou__ What is it ? Why did you buy a brick ? __eou__ There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . __eou__ And ? __eou__ So he said he'd sell me one for twenty dollars . A four-hundred-dollar camera for twenty bucks . __eou__ And it's a brick ? __eou__ Yes . __eou__ I can't believe how stupid you are . Why didn't you open the box ? __eou__ I wanted to . But he said , no , the box is still in its plastic wrap from the store.If it's opened , other people won't believe it's new . __eou__ So he had the boxes wrapped in plastic . __eou__ Yes , it was the kind of perfect plastic wrap that comes with new products.Look , it even had a bar-code price sticker on it ! It looked brand new . __eou__ But why would a guy be selling new video cameras for twenty dollars ?  __sou__ He said he had to get rid of them . They were stolen .
Do you have to leave soon ? __eou__ No . Actually I can stay longer . Dave called to say that there is a beautiful Chinese girl who ’ s going to pick me up at the school gate tonight at ten thirty instead of eight thirty . __eou__ Oh , that ’ s better . So you don ’ t have to rush . __eou__ Yeah . You know what Dave just said ? __eou__ What ? __eou__ He said I should put on something very nice , because this girl will be my next target . __eou__ He knows you very well . __eou__ He always makes fun of me . He always says things like that . You know the new coming teacher , a Chinese Canadian . He said she would really be my chance .  __sou__ I ’ m sure you have chances everywhere . You ’ re handsome , talkative , and got a sense of humor . You must be very popular .
What's your favorite book ?  __sou__ It's Gone With the Wind .
Hello ? __eou__ Hi , Shelley . Have you had lunch ? __eou__ Not yet . __eou__ So shall we have lunch together ? I ’ d like to take you this time .  __sou__ I ’ d like to , but I can ’ t .
Excuse me . Can you tell me how to get started using these machines ? __eou__ Of course . Are you a new member here ? __eou__ Yes . __eou__ Welcome . My name is Johnson . __eou__ Nice to meet you . __eou__ Do you have any experience using weights ? __eou__ No , I don't . So I need some help . __eou__ Well , first it is important to go through a good stretch.You must warm up properly so that you don't hurt yourself on the machines .  __sou__ Yes , I know that.Derek just led me through the warm up in the aerobics room.So I'm ready , I think . I can start using the machines .
Where do you live , Kim ? __eou__ I live in an apartment downtown . __eou__ Oh , that's convenient , but ... how much crime is there ? __eou__ Not much . But there is a lot of traffic . I can't stand the noise sometimes ! Where do you live ? __eou__ . I have a house in the suburbs . __eou__ Oh , I bet it's really quiet . But is there much to do there ?  __sou__ No , not much . In fact , nothing ever really happens . That's the trouble .
That was a great dinner . I didn't know that you knew how yo cook . __eou__ I'm glad you liked it . Are you ready for dessert ? __eou__ I don't know . I'm pretty full . What are we having ? __eou__ I made strawberry shortcake . __eou__ Ooh , that's my favorite . Maybe I'll have a small slice . __eou__ Great . Would you like coffee or tea with that ? __eou__ I'll have a cup of tea . __eou__ Do you take cream or sugar with your tea ?  __sou__ Actually , could I have some milk with that ?
I'd like to go to Suzhou next week . Do you know how to get there by train ? __eou__ First , you should check the schedule and see which trains go to Suzhou . Make sure which train you want to take and book a ticket . __eou__ I see . Do you know how much the ticket is ? __eou__ It depends on which train do you take . __eou__ Is it far from here to Suzhou ? __eou__ Yes , it stops more than ten times on the way to Suzhou . __eou__ How long will it take to get there ?  __sou__ About fifteen hours .
Tomorrow I'll take you to some places that I'm sure you will have interest in . __eou__ Where else haven't I been to yet ? __eou__ Not many but these ones . They are the Folk Antique Handicrafts and Collectibles Exhibition Halls ! __eou__ Sounds great ! How many kinds of folk collections they have ? __eou__ Well , there're actually over 200 kinds of folk collections in this city , that's half the collections of antique objects in China . There's one exhibition hall for multiple collection , and several individual display rooms for private collections . __eou__ Private collectors ! Oh , they must have excellent collections . I'll go and see each of them . What kinds of collections can I see ? Come on , David , don't keep me in suspense ! __eou__ No hurry ! I'll tell you now . The collections include ancient cases and caskets , tea sets , abacuses , precious sea shells and conches , jars and water abacuses for study use , drama costumes , agates , ancient coins , butterflies , fans , mini musical instruments , root-carving , rare stones and rocks , model ships , model cars . __eou__ Enough , David ! I can't wait anymore . Let's go right now ! __eou__ Okey , Okey . We'll start from the Folk Collection Exhibition House , a multi-folk collection exhibition hall , where the best of local antique objects are on constant display . The hall itself used to be the site of a local club in the late King Dynasty , a well preserved piece of antique architecture itself . Academic research seminars and exchanges between domestic and international experts are often organized there . __eou__ Very interesting . That's really a place I must go and see . And then ? __eou__ If you have interest in butterflies , you must go to the Butterfly Exhibition . Mr . Chen , owner of the private museum , has a large collection of specimen of over 1 000 species of butterflies from more than 20 countries for public display . Quite a lot of them are state-level treasures .  __sou__ Mr . Chen himself has become an authority in this area , and master of butterfly sample making , I should say .
Excuse me . I'd like to apply for an immigrant visa . __eou__ Under which category do you intend to apply ?  __sou__ Oh , my son is an American citizen . We want to live together in the future .
Let's go over this plan again . __eou__ From Vancouver , we bike along the border all the way to Winnipeg . __eou__ And that is mostly flat , right ? __eou__ Relatively , once we're out of Alberta , anyway . Then it's hills again in Aitoba . __eou__ And from Winnipeg we go around the lakes through Toronto , right ? __eou__ That's right . And up in to Quebec . And that's where we stop .  __sou__ It doesn't sound like that much when we go over the plan but that's a long , long ride .
Operator . __eou__ Hello . I'd like to make a call to Australia . __eou__ You can call direct if you like . __eou__ Oh , can I ? __eou__ Yes , please . __eou__ Could you please tell me the international prefix and the country code for Australia ? __eou__ Yes , the code for Australia is 61 and then dial the city code and the number . Start with the international code which is 00 . __eou__ What time do the special rates apply ? __eou__ Between six in the evening and eight in the morning , sir . __eou__ I wonder if I can charge this call to my hotel room . __eou__ Certainly . Tell me the room number and your name , please ? __eou__ This is Mr . Ma in room 215 .  __sou__ OK , Mr . Ma . I'll tell the front desk clerk the charge afterwards .
